SlNo,Release Date,MovieName,ReleaseTime,Genre,Budget,BoxOfficeCollection,YoutubeViews,YoutubeLikes,YoutubeDislikes
1,18-04-2014,2 States,LW,Romance,36,104,8576361,26622,2527
2,04-01-2013,Table No. 21,N,Thriller ,10,12,1087320,1129,137
3,18-07-2014,Amit Sahni Ki List,N,Comedy,10,4,572336,586,54
4,04-01-2013,Rajdhani Express,N, Drama ,7,0.35,42626,86,19
5,04-07-2014,Bobby Jasoos,N,Comedy,18,10.8,3113427,4512,1224
6,30-05-2014,Citylights,HS, Drama ,7,35,1076591,1806,84
7,19-09-2014,Daawat-E-Ishq,N,Comedy,30,24.6,3905050,8315,1373
8,11-01-2013,Matru Ki Bijlee Ka Mandola,N,Comedy,33,40,2435283,4326,647
9,10-01-2014,Dedh Ishqiya,LW,Comedy,31,27,2333067,2436,591
10,11-01-2013,Gangoobai,N, Drama ,2,0.01,4354,1,1
11,28-03-2014,Dishkiyaoon,N,Action ,28,6,2397647,3308,465
12,18-01-2013,Inkaar,N,Romance,5,10.25,1077723,897,114
13,27-06-2014,Ek Villain,HS,Romance,35,105.5,4518748,13558,1094
14,18-01-2013,Mumbai Mirror,N,Action ,4,1.8,235767,192,164
15,08-08-2014,Entertainment,N,Comedy,60,163,6336058,20472,2843
16,18-01-2013,Bandook,N,Action,4,0.09,28391,8,14
17,25-01-2013,Race 2,LW,Thriller ,60,162,7641333,12617,2138
18,06-06-2014,Filmistaan,HS,Comedy,10,6,989096,1608,173
19,12-09-2014,Finding Fanny,N,Comedy,15,58.9,6144142,13013,2746
20,13-06-2014,Fugly,HS,Comedy,10,12.6,2343109,2963,556
21,01-02-2013,David,N,Thriller ,10,3.65,839270,1542,95
22,07-03-2014,Gulaab Gang,N,Action ,27,14.3,4687259,13219,1605
23,14-02-2014,Gunday,N,Action,50,76.7,3503887,8383,1419
24,02-10-2014,Haider,FS, Drama ,24,69,7048104,23590,2443
25,21-11-2014,Happy Ending,N,Romance,48,21.5,5192338,6928,1120
26,08-02-2013,Special 26,N, Drama ,42,103,1829417,6248,568
27,24-10-2014,Happy New Year,LW, Drama ,125,383,6395202,37585,10269
28,08-02-2013,ABCD _ Any Body Can Dance,N, Drama ,12,44,4042091,10609,788
29,18-07-2014,Hate Story 2,N,Thriller,12,27.16,13798789,15708,5226
30,09-05-2014,Hawaa Hawaai,HS, Drama ,11,10,764725,1377,94
31,07-02-2014,Heartless,N,Thriller,12,1.5,4823892,5797,227
32,15-02-2013,Murder 3,FS,Thriller,12,25,2249055,1879,747
33,23-05-2014,Heropanti,HS,Romance,21,65,4005695,8189,1814
34,22-02-2013,Kai Po Che!,N, Drama ,30,62.2,1888754,5686,512
35,21-02-2014,Highway,N, Drama ,30,27.25,3043012,9100,971
36,22-02-2013,Zilla Ghaziabad,N,Action,36,16,1551786,1753,619
37,06-06-2014,Holiday,HS,Action,50,129,6841635,14182,1997
38,11-07-2014,Humpty Sharma Ki Dulhania,N,Romance,20,130,6604595,14535,2208
39,01-03-2013,The Attacks of 26/11,N,Thriller,30,32,1041892,1911,344
40,20-06-2014,Humshakals,HS,Comedy,75,63.7,6280868,1,1
41,08-03-2013,"Saheb, Biwi Aur Gangster Returns",FS, Drama ,15,22,1176596,1037,189
42,24-01-2014,Jai Ho,N,Action,120,111,868743,2783,404
43,19-09-2014,Khoobsurat,N,Romance,12,39.4,5454349,12548,2038
44,25-07-2014,Kick,N,Action,100,377,18986221,101275,10066
45,15-03-2013,3G,N,Thriller,5,5.82,1200152,1385,345
46,14-11-2014,Kill Dil,N,Romance,35,36,2375050,4358,555
47,15-03-2013,Mere Dad Ki Maruti,N,Comedy,5,11,569711,1226,133
48,15-03-2013,Jolly LLB,N,Comedy,10,32.7,1741424,3024,181
49,09-05-2014,Koyelaanchal,HS,Action,8,2,591838,347,31
50,02-05-2014,Kya Dilli Kya Lahore,HS, Drama ,7,0.5,492344,2018,64
51,04-07-2014,Lekar Hum Deewana Dil,N,Romance,16,2.5,3998331,2307,497
52,22-03-2013,Aatma,N,Thriller,8,8.78,841891,997,306
53,04-04-2014,Main Tera Hero,LW,Comedy,40,55,4903941,12657,2139
54,22-03-2013,Sona Spa,N,Thriller,10,0.24,79430,61,112
55,29-03-2013,Himmatwala,N,Action,50,100,2501277,1,1
56,09-05-2014,Manjunath,HS, Drama ,3,1.75,370106,991,35
57,22-08-2014,Mardaani,N, Drama ,15,36,4376650,14408,1035
58,05-04-2013,Chashme Baddoor,N,Comedy,20,42,166066,2897,283
59,05-09-2014,Mary Kom,N, Drama ,15,104,6086811,26560,1647
60,12-04-2013,Nautanki Saala,LW,Comedy,9,21.5,1208841,1442,342
61,09-05-2014,Mastram,HS,Comedy,2,3,3557585,3927,1364
62,12-04-2013,Commando-A One Man Army,LW,Action,22,21,3162465,7519,562
63,19-04-2013,Ek Thi Daayan,FS,Thriller,24,45,1837437,3296,613
64,17-01-2014,Miss Lovely,N, Drama ,5,0.7,808439,328,95
